# Summermyst affixes for Diablo In Skyrim
#
# Generated by the in-game discovery pass, then curated. Everything numeric --
# the mgef token, slots, duration, area and the magnitude bands -- is READ from
# Summermyst's own records, so each affix starts from its author's balance
# rather than from ours.
#
# WEIGHT 40 against the base table's 100. With 67 affixes here and 48 there,
# equal weights would make Summermyst roughly three rolls in five. At 40 it is
# closer to one in three: present everywhere, dominant nowhere.
#
# WHAT WAS CUT, and why, in case you want any of it back:
#   * 110 effects whose archetype is Script -- the behaviour lives in a Papyrus
#     script attached to Summermyst's OWN enchantment, which our created
#     enchantment does not carry. The magnitude is a parameter for that script.
#   * 86 sub-components ("Invisibility - Vs Player", "Triptych: Attributes").
#     Half an effect is not an affix.
#   * 167 with a single magnitude and no range -- toggles in disguise. Inventing
#     three tiers from one data point would fabricate balance.
#   * magnitudes above 100, which is where the base table tops out. Discharge
#     read 200-633 and Roulette 50-133: script parameters, not damage.
#   * "Fire Damage", which carried duration 1337 -- a sentinel, not a duration.
#   * 17 by name, listed below, whose mechanics need Summermyst's scripting to
#     mean anything: Alarm, Command Daedra, Goldstrike, King of the Lost, Magic
#     Find, Magnet, Nova, Quake, Roulette, Soul Harvest, Steal Weapons, Windfall,
#     Heal, Increased Experience, and the three Area effects.
#   * Polar Fire Damage and Polar Frost Damage, both flagged hide-in-UI: they
#     are halves of Summermyst's Polar enchantment and draw no item-card line,
#     so they would apply invisibly and read as an unexplained rename.
#   * Balefire, which appears twice under one id -- two distinct effects whose
#     names normalise identically.
#
# Points are 1/2/3 by tier and minItemLevel is 1/12/25, both defaults rather
# than judgements. The suffix is "of <EffectName>", which reads clunky in places
# and is worth a pass.
#
affixId,name,category,tier,points,minValue,maxValue,unit,duration,area,slots,weight,minItemLevel,mgef,npcExclude,prefix,suffix
primal,Primal,Modded,1,1,1,2,flat,1,0,WEAPON,40,1,Summermyst - Enchantments of Skyrim.esp|0x3FDA6F,0,Feral,of the Beast
primal,Primal,Modded,2,2,2,3,flat,1,0,WEAPON,40,12,Summermyst - Enchantments of Skyrim.esp|0x3FDA6F,0,Feral,of the Beast
primal,Primal,Modded,3,3,3,4,flat,1,0,WEAPON,40,25,Summermyst - Enchantments of Skyrim.esp|0x3FDA6F,0,Feral,of the Beast
fortify_shout_power,Fortify Shout Power,Modded,1,1,5,10,flat,0,0,ARMOR|RING|AMULET,40,1,Summermyst - Enchantments of Skyrim.esp|0x42B377,0,Thu'um-Touched,of the Voice
fortify_shout_power,Fortify Shout Power,Modded,2,2,10,15,flat,0,0,ARMOR|RING|AMULET,40,12,Summermyst - Enchantments of Skyrim.esp|0x42B377,0,Thu'um-Touched,of the Voice
fortify_shout_power,Fortify Shout Power,Modded,3,3,15,20,flat,0,0,ARMOR|RING|AMULET,40,25,Summermyst - Enchantments of Skyrim.esp|0x42B377,0,Thu'um-Touched,of the Voice
radius,Radius,Modded,1,1,5,10,flat,0,30,WEAPON,40,1,Summermyst - Enchantments of Skyrim.esp|0x3FDA6C,0,Sweeping,of Sweeping
radius,Radius,Modded,2,2,10,15,flat,0,30,WEAPON,40,12,Summermyst - Enchantments of Skyrim.esp|0x3FDA6C,0,Sweeping,of Sweeping
radius,Radius,Modded,3,3,15,20,flat,0,30,WEAPON,40,25,Summermyst - Enchantments of Skyrim.esp|0x3FDA6C,0,Sweeping,of Sweeping
stormbringer,Stormbringer,Modded,1,1,5,10,flat,0,0,WEAPON,40,1,Summermyst - Enchantments of Skyrim.esp|0x3FDA6D,0,Storm-Called,of the Tempest
stormbringer,Stormbringer,Modded,2,2,10,15,flat,0,0,WEAPON,40,12,Summermyst - Enchantments of Skyrim.esp|0x3FDA6D,0,Storm-Called,of the Tempest
stormbringer,Stormbringer,Modded,3,3,15,20,flat,0,0,WEAPON,40,25,Summermyst - Enchantments of Skyrim.esp|0x3FDA6D,0,Storm-Called,of the Tempest
invisibility,Invisibility,Modded,1,1,5,12,flat,1,0,WEAPON,40,1,Summermyst - Enchantments of Skyrim.esp|0x3F896A,0,Vanishing,of Vanishing
invisibility,Invisibility,Modded,2,2,12,18,flat,1,0,WEAPON,40,12,Summermyst - Enchantments of Skyrim.esp|0x3F896A,0,Vanishing,of Vanishing
invisibility,Invisibility,Modded,3,3,18,25,flat,1,0,WEAPON,40,25,Summermyst - Enchantments of Skyrim.esp|0x3F896A,0,Vanishing,of Vanishing
vampire_s_heart,Vampire's Heart,Modded,1,1,4,6,flat,0,0,ARMOR|RING|AMULET,40,1,Summermyst - Enchantments of Skyrim.esp|0x3892E3,0,Bloodcursed,of the Blooded Heart
vampire_s_heart,Vampire's Heart,Modded,2,2,6,8,flat,0,0,ARMOR|RING|AMULET,40,12,Summermyst - Enchantments of Skyrim.esp|0x3892E3,0,Bloodcursed,of the Blooded Heart
vampire_s_heart,Vampire's Heart,Modded,3,3,8,10,flat,0,0,ARMOR|RING|AMULET,40,25,Summermyst - Enchantments of Skyrim.esp|0x3892E3,0,Bloodcursed,of the Blooded Heart
reclaim_magicka,Reclaim Magicka,Modded,1,1,15,20,flat,0,0,ARMOR|RING|AMULET,40,1,Summermyst - Enchantments of Skyrim.esp|0x3473E8,0,Replenishing,of Replenishment
reclaim_magicka,Reclaim Magicka,Modded,2,2,20,25,flat,0,0,ARMOR|RING|AMULET,40,12,Summermyst - Enchantments of Skyrim.esp|0x3473E8,0,Replenishing,of Replenishment
reclaim_magicka,Reclaim Magicka,Modded,3,3,25,30,flat,0,0,ARMOR|RING|AMULET,40,25,Summermyst - Enchantments of Skyrim.esp|0x3473E8,0,Replenishing,of Replenishment
reclaim_stamina,Reclaim Stamina,Modded,1,1,15,20,flat,0,0,ARMOR|RING|AMULET,40,1,Summermyst - Enchantments of Skyrim.esp|0x3515F8,0,Restoring,of Renewal
reclaim_stamina,Reclaim Stamina,Modded,2,2,20,25,flat,0,0,ARMOR|RING|AMULET,40,12,Summermyst - Enchantments of Skyrim.esp|0x3515F8,0,Restoring,of Renewal
reclaim_stamina,Reclaim Stamina,Modded,3,3,25,30,flat,0,0,ARMOR|RING|AMULET,40,25,Summermyst - Enchantments of Skyrim.esp|0x3515F8,0,Restoring,of Renewal
weakness_to_fire,Weakness to Fire,Modded,1,1,10,23,flat,10,0,WEAPON,40,1,Summermyst - Enchantments of Skyrim.esp|0x3C5F4A,0,Scorchmarked,of Tinder
weakness_to_fire,Weakness to Fire,Modded,2,2,23,37,flat,10,0,WEAPON,40,12,Summermyst - Enchantments of Skyrim.esp|0x3C5F4A,0,Scorchmarked,of Tinder
weakness_to_fire,Weakness to Fire,Modded,3,3,37,50,flat,10,0,WEAPON,40,25,Summermyst - Enchantments of Skyrim.esp|0x3C5F4A,0,Scorchmarked,of Tinder
weakness_to_frost,Weakness to Frost,Modded,1,1,10,23,flat,10,0,WEAPON,40,1,Summermyst - Enchantments of Skyrim.esp|0x3C5F4B,0,Chillmarked,of Brittleness
weakness_to_frost,Weakness to Frost,Modded,2,2,23,37,flat,10,0,WEAPON,40,12,Summermyst - Enchantments of Skyrim.esp|0x3C5F4B,0,Chillmarked,of Brittleness
